"Testcase Name","Testcase Description","Testcase Steps","Testcase Excepted Results","Components","Test Type","Automation Status","Fix Version","Priority","Affects Version"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  User  clicks  on  that  appliance""
6)""User  clicks  on  Actions  drop  down  tab""
7)""User  selects  Manage  Alerts""
8)""the  User  wants  to  Turn  off  the  Alert  permanently   ?""
9)""click  on  the  Turn  Off  button""
10)""The  user  selects  the  number  through  the  dropdown  mentioned  below""
11)""User  selects  the  parameter  days/hours  through  the  next  drop-down  menu""
12)""the  user  wants  to  save  the  changes ?""
13)""click  on  the  Save  button""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  user  selects  as  many  appliances  as  possible  they  want  by  checking  the  box""
6)""Click  on  three-dot  to  extend  the  dropdown""
7)""User  selects  Manage  Alerts""
8)""the  User  wants  to  Turn  off  the  Alert  permanently ?""
9)""click  on  the  Turn  Off  button""
10)""The  user  selects  the  number  through  the  dropdown  mentioned  below""
11)""User  selects  the  parameter  days/hours  through  the  next  drop-down  menu""
12)""the  user  wants  to  save  the  changes ?""
13)""click  on  the  Save  button""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  user  selects  as  many  appliances  as  possible  they  want  by  checking  the  box""
6)""Click  on  three-dot  to  extend  the  dropdown""
7)""User  selects  Manage  Alerts""
8)""the  User  wants  to  Turn  off  the  Alert  permanently ?""
9)""click  on  the  Turn  Off  button""
10)""The  user  selects  the  number  through  the  dropdown  mentioned  below""
11)""User  selects  the  parameter  days/hours  through  the  next  drop-down  menu""
12)""the  user  wants  to  save  the  changes ?""
13)""click  on  the  cancel  button  to  not  update  the  changes  made""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  user  selects  as  many  appliances  as  possible  they  want  by  checking  the  box""
6)""Click  on  three-dot  to  extend  the  dropdown""
7)""User  selects  Manage  Alerts""
8)""the  User  wants  to  Turn  off  the  Alert  permanently ?""
9)""to  pause  the  Alert  select  Pause  Alert  and  set  the  duration  for  pausing  the  alert""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  user  selects  as  many  appliances  as  possible  they  want  by  checking  the  box""
6)""click  on  one  appliance""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  User  clicks  on  that  appliance""
6)""User  clicks  on  Actions  drop  down  tab""
7)""User  selects  Manage  Alerts""
8)""the  User  wants  to  Turn  off  the  Alert  permanently   ?""
9)""click  on  the  Turn  Off  button""
10)""The  user  selects  the  number  through  the  dropdown  mentioned  below""
11)""User  selects  the  parameter  days/hours  through  the  next  drop-down  menu""
12)""the  user  wants  to  save  the  changes ?""
13)""click  on  the  cancel  button  to  not  update  the  changes  made""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""The  user  needs  to  unsubscribe  to  stop  receiving  the  alerts""
3)""User  selects  the  Appliance_type  on  which  they  want  to  stop  getting  alerts""
4)""the  user  wants  to  stop  the  alert  for  a  specific  appliance   ?""
5)""the  User  clicks  on  that  appliance""
6)""User  clicks  on  Actions  drop  down  tab""
7)""User  selects  Manage  Alerts""
8)""the  User  wants  to  Turn  off  the  Alert  permanently   ?""
9)""to  pause  the  Alert  select  Pause  Alert  and  set  the  duration  for  pausing  the  alert""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
