"Testcase Name","Testcase Description","Testcase Steps","Testcase Excepted Results","Components","Test Type","Automation Status","Fix Version","Priority","Affects Version"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
5)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your   session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
6)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
7)""activity  will  be  performed  according  to  operation  selected  by  user  ""
8)""user  clicks  logout  in  inactivity  timeout ?""
9)""user  will  log  off  ""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
5)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your   session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
6)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
7)""activity  will  be  performed  according  to  operation  selected  by  user  ""
8)""user  clicks  logout  in  inactivity  timeout ?""
9)""if  customer  clicks  Continue  
10) will  be  closed  and  Netinsights-last-activity-timestamp  will  be  refreshed  to  be  the  current  timestamp""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""each  tab  will  report  inactivity  timeout  around  the  same  time  ""
5)""Inactivity  timeout  trigger  will  put  a  popup  which  says  your   session  will  be  expired  due  to  inactivity  in  next  Netinsights-timeout-grace-period  seconds""
6)""user  performs  any  operation  in  Netinsights-timeout-grace-period  seconds  after  inactivity  timeout  comes  out ?""
7)""automatically  log  offs""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
"","","1)""Start""
2)""User  logins  to  the  webpage""
3)""user  stays  in  Application  and  does  not  do  any  operation  for  a  specific  period  in  any  tab ?""
4)""customer  resumes  activity  in  any  tab  each  tab  will  be  refreshed  with  the  latest  operation  timestamp""
","","QA","Functional","Not Applicable","<release_version>","P1","<release_version>"
