keyword,weight
subscribe alerts,0.65
want alerts,0.6
set alert,0.5701
selects manage_alerts,0.5302
alerts user,0.5291
subscribe alerts,0.65
want alerts,0.6
set alert,0.5701
selects manage_alerts,0.5302
alerts user,0.5291
subscribe alerts,0.65
want alerts,0.6
set alert,0.5701
selects manage_alerts,0.5302
alerts user,0.5291
