"HA_cluster","usable","usable","usable","usable"
"HA_cluster","usable","usable","usable","unusable"
"HA_cluster","usable","usable","unusable","usable"
"HA_cluster","usable","usable","unusable","unusable"
"HA_cluster","usable","unusable","usable","usable"
"HA_cluster","usable","unusable","usable","unusable"
"HA_cluster","usable","unusable","unusable","usable"
"HA_cluster","usable","unusable","unusable","unusable"
"HA_cluster","unusable","usable","usable","usable"
"HA_cluster","unusable","usable","usable","unusable"
"HA_cluster","unusable","usable","unusable","usable"
"HA_cluster","unusable","usable","unusable","unusable"
"HA_cluster","unusable","unusable","usable","usable"
"HA_cluster","unusable","unusable","usable","unusable"
"HA_cluster","unusable","unusable","unusable","usable"
"HA_cluster","unusable","unusable","unusable","unusable"
"Single","usable","usable","usable","usable"
"Single","usable","usable","usable","unusable"
"Single","usable","usable","unusable","usable"
"Single","usable","usable","unusable","unusable"
"Single","usable","unusable","usable","usable"
"Single","usable","unusable","usable","unusable"
"Single","usable","unusable","unusable","usable"
"Single","usable","unusable","unusable","unusable"
"Single","unusable","usable","usable","usable"
"Single","unusable","usable","usable","unusable"
"Single","unusable","usable","unusable","usable"
"Single","unusable","usable","unusable","unusable"
"Single","unusable","unusable","usable","usable"
"Single","unusable","unusable","usable","unusable"
"Single","unusable","unusable","unusable","usable"
"Single","unusable","unusable","unusable","unusable"
