keyword,weight
log events,0.5337
login log,0.5335
detailed logs,0.5074
stored audit,0.5016
asup_prod database,0.4429
site replaced,0.5023
asup_prod database,0.4239
database changes,0.423
existing site,0.38
changes site,0.3676
appliance contacts,0.5446
detailed logs,0.4657
asup_prod database,0.4543
stored audit,0.4195
updated appliance,0.3956
